,SeqId,TargetFullName,Target,UniProt,EntrezGeneSymbol,Units,Dilution,PlateScale_Reference,Function
126,10561-5,Peptidoglycan recognition protein 3,PGRP-I-alpha,Q96LB9,PGLYRP3,RFU,20,594.9,
127,10563-13,LysM and putative peptidoglycan-binding domain-containing protein 3,LYSM3,Q7Z3D4,LYSMD3,RFU,20,139.5,
128,10565-19,SLIT and NTRK-like protein 3,SLIK3,O94933,SLITRK3,RFU,20,4382.9,
129,10569-28,Microfibrillar-associated protein 2,MFAP2,P55001,MFAP2,RFU,0.5,832.6,
130,10571-14,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",MGAT1,P26572,MGAT1,RFU,20,648.8,
131,10572-65,Cystatin-8,CST8,O60676,CST8,RFU,20,10861.1,
132,10574-10,Beta-2-microglobulin,b2-Microglobulin,P61769,B2M,RFU,20,4975,
133,10575-31,Poly(U)-binding-splicing factor PUF60,PUF60,Q9UHX1,PUF60,RFU,20,5016,
134,10580-14,Surfactant-associated protein 2,SFTA2,Q6UW10,SFTA2,RFU,20,399.7,
135,10582-36,Protein O-mannose kinase,SG196,Q9H5K3,POMK,RFU,20,310.2,
136,10583-1,Transmembrane protein 108,TM108,Q6UXF1,TMEM108,RFU,20,260.5,
137,10584-7,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",NDUS4,O43181,NDUFS4,RFU,20,4270,
138,10588-39,"Lactosylceramide alpha-2,3-sialyltransferase",SIAT9,Q9UNP4,ST3GAL5,RFU,20,394.6,
139,10589-7,Retinoic acid early transcript 1L protein,RET1L,Q5VY80,RAET1L,RFU,20,657.5,
140,10603-1,Histatin-3,HIS3,P15516,HTN3,RFU,20,1734.9,
141,10605-22,Adipocyte plasma membrane-associated protein,APMAP,Q9HDC9,APMAP,RFU,20,147.1,
142,10606-34,Torsin-1A-interacting protein 1,TOIP1,Q5JTV8,TOR1AIP1,RFU,20,4819.8,
143,10608-9,Histatin-1,HIS1,P15515,HTN1,RFU,20,562.8,
144,10610-8,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,822.8,
145,10612-18,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",PLOD3,O60568,PLOD3,RFU,0.5,2001.4,
146,10613-33,Protein CASC4,CASC4,Q6P4E1,CASC4,RFU,20,1797.9,
147,10615-18,Myelin protein P0,MYP0,P25189,MPZ,RFU,20,1909.4,
148,10616-67,Podocalyxin-like protein 2,PDXL2,Q9NZ53,PODXL2,RFU,20,418.6,
149,10618-190,Low-density lipoprotein receptor-related protein 2,megalin,P98164,LRP2,RFU,20,1447.6,
150,10620-21,Beta-microseminoprotein,PSP-94,P08118,MSMB,RFU,20,9639.8,
151,10621-26,Protein Largen,PRR16,Q569H4,PRR16,RFU,20,415.5,
152,10623-19,Mucin-1,MUC1,P15941,MUC1,RFU,20,423.8,
154,10627-87,Amyloid-like protein 2,APLP2,Q06481,APLP2,RFU,0.5,984.4,
155,10630-5,Oxidoreductase HTATIP2,HTAI2,Q9BUP3,HTATIP2,RFU,20,2780.5,
156,10637-50,UPF0577 protein KIAA1324,K1324,Q6UXG2,KIAA1324,RFU,20,222.4,
157,10638-1,TERF1-interacting nuclear factor 2,TINF2,Q9BSI4,TINF2,RFU,20,180,
158,10639-1,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,2787.4,
159,10640-9,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,235.3,
160,10643-16,Noelin-3,NOE3,Q96PB7,OLFM3,RFU,20,1628.8,
161,10645-72,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,3526.7,
162,10647-18,Activating signal cointegrator 1 complex subunit 1,ASCC1,Q8N9N2,ASCC1,RFU,0.5,1484.6,
163,10658-28,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,466.2,
164,10659-49,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,127.7,
165,10660-33,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,205.4,
166,10663-42,Insulin-induced gene 1 protein,INSI1,O15503,INSIG1,RFU,20,319.5,
167,10665-30,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,997.7,
168,10666-7,N-acetylglucosamine-1-phosphotransferase subunit gamma,GNPTG,Q9UJJ9,GNPTG,RFU,0.005,660.9,
169,10667-78,Uncharacterized protein C1orf185,CA185,Q5T7R7,C1orf185,RFU,20,151.1,
170,10668-5,Syntaxin-4,STX4,Q12846,STX4,RFU,20,703.4,
171,10671-67,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,283.2,
172,10672-75,Pulmonary surfactant-associated protein B,SP-B,P07988,SFTPB,RFU,20,341,
173,10692-48,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,4095.5,
174,10693-43,Killer cell lectin-like receptor subfamily G member 2,KLRG2,A4D1S0,KLRG2,RFU,20,2036.4,
175,10695-12,Protein WFDC10B,WF10B,Q8IUB3,WFDC10B,RFU,20,341.9,
176,10699-52,Prolow-density lipoprotein receptor-related protein 1,LRP1,Q07954,LRP1,RFU,20,295.2,
177,10700-10,Immunoglobulin superfamily member 11,IGS11,Q5DX21,IGSF11,RFU,20,1374,
178,10701-30,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,1495.6,
179,10702-1,Collagen alpha-1(XXVIII) chain,COSA1,Q2UY09,COL28A1,RFU,0.5,4057.7,
180,10703-203,Sin3 histone deacetylase corepressor complex component SDS3,SDS3,Q9H7L9,SUDS3,RFU,20,576.4,
181,10704-91,Lymphoid-restricted membrane protein,LRMP,Q12912,LRMP,RFU,20,581.7,
182,10705-14,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3",SIA7C,Q8NDV1,ST6GALNAC3,RFU,20,211.1,
183,10708-3,Progonadoliberin-2,GON2,O43555,GNRH2,RFU,20,267.8,
184,10710-23,Zona pellucida-binding protein 2,ZPBP2,Q6X784,ZPBP2,RFU,20,78.5,
185,10713-151,CMRF35-like molecule 7,CLM7,A8K4G0,CD300LB,RFU,20,135.8,
186,10714-7,Angiotensin-converting enzyme,ACE,P12821,ACE,RFU,0.5,898.5,
187,10716-35,26S proteasome non-ATPase regulatory subunit 5,PSMD5,Q16401,PSMD5,RFU,20,720.3,
188,10721-76,Heat shock 70 kDa protein 1A,HSP 70,P0DMV8,HSPA1A,RFU,20,10674.8,
189,10723-41,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,1410.2,
190,10731-10,Heparan sulfate glucosamine 3-O-sulfotransferase 5,HS3S5,Q8IZT8,HS3ST5,RFU,0.5,1260.4,
191,10737-96,Leukocyte elastase inhibitor,Serpin B1,P30740,SERPINB1,RFU,20,4106.4,
192,10748-216,Protocadherin beta-2,PCDB2,Q9Y5E7,PCDHB2,RFU,20,839.7,
193,10749-18,Heat shock 70 kDa protein 1A,HSP 70,P0DMV8,HSPA1A,RFU,20,3875,
194,10753-31,Disintegrin and metalloproteinase domain-containing protein 7,ADAM7,Q9H2U9,ADAM7,RFU,20,1474.6,
195,10754-113,Prokineticin-2,Prokineticin-2,Q9HC23,PROK2,RFU,20,3055.1,
196,10756-34,Urocortin-3,UCN3,Q969E3,UCN3,RFU,20,972.3,
197,10758-2,Keratocan,KERA,O60938,KERA,RFU,20,2399.3,
198,10761-5,Transmembrane emp24 domain-containing protein 2,TMED2,Q15363,TMED2,RFU,20,563.4,
199,10762-2,Killer cell lectin-like receptor subfamily G member 2,KLRG2,A4D1S0,KLRG2,RFU,20,845,
200,10767-52,G-protein coupled receptor 64,GPR64,Q8IZP9,GPR64,RFU,20,735.3,
201,10772-21,Chondroitin sulfate N-acetylgalactosaminyltransferase 2,CGAT2,Q8N6G5,CSGALNACT2,RFU,20,294.9,
202,10781-19,C-type lectin domain family 4 member G,CLC4G,Q6UXB4,CLEC4G,RFU,0.5,4462.1,
203,10785-8,Leucine-rich repeat-containing protein 52,LRC52,Q8N7C0,LRRC52,RFU,20,703.4,
204,10791-21,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,104.9,
205,10798-4,CMRF35-like molecule 2,CLM2,Q496F6,CD300E,RFU,20,564.8,
206,10800-15,Serpin H1,Collagen-binding protein,P50454,SERPINH1,RFU,20,675.9,
207,10803-22,Heat shock 70 kDa protein 1A,HSP 70,P0DMV8,HSPA1A,RFU,20,3606.3,
208,10809-14,Killer cell lectin-like receptor subfamily B member 1,KLRB1,Q12918,KLRB1,RFU,20,395,
209,10814-7,T-cell surface glycoprotein CD1a,CD1A,P06126,CD1A,RFU,20,945.8,
210,10815-2,Intracellular hyaluronan-binding protein 4,HABP4,Q5JVS0,HABP4,RFU,20,290.7,
211,10816-150,Paired immunoglobulin-like type 2 receptor alpha isoform FDF03-M14,PILRA isoform FDF03-M14,Q9UKJ1,PILRA,RFU,20,1966.7,
212,10818-36,Sphingomyelin phosphodiesterase,ASM,P17405,SMPD1,RFU,0.5,1460.2,
213,10823-19,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,2059.1,
214,10825-12,V-set and immunoglobulin domain-containing protein 10,VSI10,Q8N0Z9,VSIG10,RFU,20,891.8,
215,10830-5,EF-hand calcium-binding domain-containing protein 14,K0494,O75071,EFCAB14,RFU,20,381.1,
216,10832-24,"Beta-1,4-galactosyltransferase 6",B4GT6,Q9UBX8,B4GALT6,RFU,20,1268.5,
217,10833-64,Hedgehog-interacting protein,HHIP,Q96QV1,HHIP,RFU,0.5,776.1,
218,10835-25,"Alpha-1,4-N-acetylglucosaminyltransferase",A4GCT,Q9UNA3,A4GNT,RFU,20,2502.9,
219,10842-7,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4",GCNT4,Q9P109,GCNT4,RFU,20,504.6,
220,10847-1,Sialic acid-binding Ig-like lectin 15,SIG15,Q6ZMC9,SIGLEC15,RFU,20,1069.6,
221,10848-137,Butyrophilin-like protein 3,BTNL3,Q6UXE8,BTNL3,RFU,20,417.8,
222,10851-77,Interleukin-27 subunit beta,IL27B,Q14213,EBI3,RFU,20,16488.4,
223,10852-114,Heterogeneous nuclear ribonucleoprotein D-like,HNRDL,O14979,HNRNPDL,RFU,20,4250.4,
224,10866-60,Serine/threonine-protein phosphatase 4 regulatory subunit 3A,P4R3A,Q6IN85,SMEK1,RFU,20,12391.2,
225,10876-300,BRCA1-associated ATM activator 1,BRAT1,Q6PJG6,BRAT1,RFU,20,854,
226,10880-38,Protein FAM163B,F163B,P0C2L3,FAM163B,RFU,20,2007.2,
227,10882-12,Desmocollin-1,Desmocollin-1,Q08554,DSC1,RFU,20,857,
228,10885-36,Bombesin receptor-activated protein C6orf89,CF089,Q6UWU4,C6orf89,RFU,20,1401.5,
229,10888-4,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,116.3,
230,10889-2,Melanocortin-2 receptor accessory protein 2,MRAP2,Q96G30,MRAP2,RFU,20,1230.9,
231,10890-135,Lactase-like protein,LCTL,Q6UWM7,LCTL,RFU,20,867.1,
232,10892-8,Oncostatin-M-specific receptor subunit beta,OSMR,Q99650,OSMR,RFU,20,3929.9,
233,10895-28,Transmembrane protease serine 11B,TM11B,Q86T26,TMPRSS11B,RFU,20,2990.4,
234,10900-272,Stathmin-2,STMN2,Q93045,STMN2,RFU,20,1132.2,
236,10903-50,Syntaxin-8,STX8,Q9UNK0,STX8,RFU,20,1488.5,
237,10907-116,Neurotrimin,NTRI,Q9P121,NTM,RFU,20,12803.6,
238,10908-2,Polypeptide N-acetylgalactosaminyltransferase 13,GLT13,Q8IUC8,GALNT13,RFU,20,1079.2,
239,10910-6,Carcinoembryonic antigen-related cell adhesion molecule 4,CEAM4,O75871,CEACAM4,RFU,20,782.3,
240,10914-4,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,1087.4,
241,10916-44,Secretory phospholipase A2 receptor,PLA2R,Q13018,PLA2R1,RFU,20,5067.3,
242,10917-40,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2,GBGT2,O14610,GNGT2,RFU,20,393.6,
243,10924-258,Neuferricin,NEUFC,Q8WUJ1,CYB5D2,RFU,20,76.1,
244,10927-65,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,543.7,
245,10933-107,Calcium-binding protein 8,CABP8,Q9BXU9,CALN1,RFU,20,923.1,
246,10938-13,Lymphocyte function-associated antigen 3,sLFA-3,P19256,CD58,RFU,20,1350.5,
247,10939-16,Pleckstrin homology domain-containing family A member 4,PKHA4,Q9H4M7,PLEKHA4,RFU,20,331.8,
248,10940-25,Sarcalumenin,SRCA,Q86TD4,SRL,RFU,20,983.7,
249,10943-36,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,258.1,
250,10945-11,Syntaxin-6,Syntaxin-6,O43752,STX6,RFU,20,2604.4,
251,10948-14,Phospholipase D3,PLD3,Q8IV08,PLD3,RFU,20,353.6,
252,10949-59,60S acidic ribosomal protein P2,RLA2,P05387,RPLP2,RFU,20,633.1,
253,10953-14,C-type lectin domain family 2 member A,CLC2A,Q6UVW9,CLEC2A,RFU,20,808.9,
254,10955-4,C-type lectin domain family 10 member A,CLC10,Q8IUN9,CLEC10A,RFU,20,534.8,
255,10956-82,"Glycine cleavage system H protein, mitochondrial",GCSH,P23434,GCSH,RFU,20,1584.1,
256,10959-125,BET1-like protein,BET1L,Q9NYM9,BET1L,RFU,20,303.1,
257,10961-15,Retinoic acid receptor responder protein 3,TIG3,Q9UL19,RARRES3,RFU,20,1995.7,
258,10962-46,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,725.1,
259,10974-20,Serine protease inhibitor Kazal-type 7,ISK7,P58062,SPINK7,RFU,20,1545.4,
260,10975-59,Mucin-like protein 1,MUCL1,Q96DR8,MUCL1,RFU,20,564.2,
261,10977-55,Unique cartilage matrix-associated protein,UCMA,Q8WVF2,UCMA,RFU,20,1128.5,
262,10978-39,Growth hormone variant,SOM2,P01242,GH2,RFU,20,647.4,
263,10981-56,"Pro-neuregulin-3, membrane-bound isoform",NRG3,P56975,NRG3,RFU,20,547.9,
264,10990-21,Leucine-rich repeat serine/threonine-protein kinase 2,LRRK2,Q5S007,LRRK2,RFU,0.5,2566.5,
265,11067-13,Osteocalcin,Osteocalcin,P02818,BGLAP,RFU,0.5,1328.6,
266,11071-1,Interleukin-5,IL-5,P05113,IL5,RFU,20,275.6,
267,11089-7,Immunoglobulin A,IgA,P01876 P01877,IGHA1 IGHA2,RFU,0.005,5550.4,
268,11094-104,Galectin-10,LPPL,Q05315,CLC,RFU,20,836.6,
269,11096-57,HemK methyltransferase family member 2,HEMK2,Q9Y5N5,N6AMT1,RFU,20,1798.2,
270,11098-1,Pyridoxal kinase,PDXK,O00764,PDXK,RFU,20,572.7,
271,11101-18,Toll-like receptor 4,TLR4,O00206,TLR4,RFU,20,359.9,
272,11102-22,Regenerating islet-derived protein 4,REG4,Q9BYZ8,REG4,RFU,20,30901,
